Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
Младост 4,138153.33,1698.61,EUR,"Ателие, таван, студио",2024-04-13
Оборище,164063.33,2247.44,EUR,"Ателие, таван, студио",2024-04-13
Овча Купел,140202.50,1434.30,EUR,"Ателие, таван, студио",2024-04-13
Овча Купел 2,230090.00,1818.89,EUR,"Ателие, таван, студио",2024-04-13
Подуене,127660.66,2015.70,EUR,"Ателие, таван, студио",2024-04-13
Симеоново,106100.00,1360.26,EUR,"Ателие, таван, студио",2024-04-13
Студентски Град,82500.00,2171.05,EUR,"Ателие, таван, студио",2024-04-13
Суха Река,129495.50,1977.03,EUR,"Ателие, таван, студио",2024-04-13
Център,122840.29,2362.31,EUR,"Ателие, таван, студио",2024-04-13
Банишора,301648.75,1946.12,EUR,Многостаен апартамемент,2024-04-13
Банкя (гр.),359250.00,2214.18,EUR,Многостаен апартамемент,2024-04-13
Белите Брези,400000.00,1568.63,EUR,Многостаен апартамемент,2024-04-13
Борово,365878.50,1980.40,EUR,Многостаен апартамемент,2024-04-13
Бояна,526463.62,2249.37,EUR,Многостаен апартамемент,2024-04-13
Бъкстон,281362.16,1676.44,EUR,Многостаен апартамемент,2024-04-13
Витоша,469092.81,1798.79,EUR,Многостаен апартамемент,2024-04-13
Гео Милев,420250.00,2444.74,EUR,Многостаен апартамемент,2024-04-13
Горна Баня,493272.00,1700.94,EUR,Многостаен апартамемент,2024-04-13
Гоце Делчев,698533.31,2305.39,EUR,Многостаен апартамемент,2024-04-13
Дианабад,616400.00,2606.34,EUR,Многостаен апартамемент,2024-04-13
Драгалевци,588415.62,2122.81,EUR,Многостаен апартамемент,2024-04-13
Дружба 1,550332.50,1507.76,EUR,Многостаен апартамемент,2024-04-13
Дружба 2,386214.28,2308.71,EUR,Многостаен апартамемент,2024-04-13
Дървеница,441057.50,2384.09,EUR,Многостаен апартамемент,2024-04-13
Зона Б5,244000.00,2188.34,EUR,Многостаен апартамемент,2024-04-13
Иван Вазов,933660.00,4113.04,EUR,Многостаен апартамемент,2024-04-13
Изгрев,870000.00,3551.02,EUR,Многостаен апартамемент,2024-04-13
Изток,627688.88,2536.69,EUR,Многостаен апартамемент,2024-04-13
Илинден,210000.00,1962.62,EUR,Многостаен апартамемент,2024-04-13
Красна Поляна,185428.83,1277.35,EUR,Многостаен апартамемент,2024-04-13
Красно Село,408800.19,1868.37,EUR,Многостаен апартамемент,2024-04-13
Кръстова Вада,571017.00,2458.59,EUR,Многостаен апартамемент,2024-04-13
Лагера,436860.00,2311.43,EUR,Многостаен апартамемент,2024-04-13
Лозенец,673784.62,2628.26,EUR,Многостаен апартамемент,2024-04-13
Люлин 2,201566.67,1462.40,EUR,Многостаен апартамемент,2024-04-13
Люлин 4,253000.00,1846.71,EUR,Многостаен апартамемент,2024-04-13
Люлин 5,180660.56,1348.21,EUR,Многостаен апартамемент,2024-04-13
Люлин 6,259216.00,1432.13,EUR,Многостаен апартамемент,2024-04-13
Люлин 7,175000.00,1458.33,EUR,Многостаен апартамемент,2024-04-13
Люлин 9,258666.67,1027.81,EUR,Многостаен апартамемент,2024-04-13
Люлин Център,257450.00,1438.27,EUR,Многостаен апартамемент,2024-04-13
Малинова Долина,299731.28,1715.01,EUR,Многостаен апартамемент,2024-04-13
Манастирски ливади Запад,372500.00,1897.28,EUR,Многостаен апартамемент,2024-04-13
Манастирски ливади Изток,550051.12,2368.19,EUR,Многостаен апартамемент,2024-04-13
Младост 1,332120.00,1781.76,EUR,Многостаен апартамемент,2024-04-13
Младост 2,448333.34,1924.18,EUR,Многостаен апартамемент,2024-04-13
Младост 4,271644.19,1817.02,EUR,Многостаен апартамемент,2024-04-13
Надежда 2,168950.00,1632.37,EUR,Многостаен апартамемент,2024-04-13
Обеля,165400.00,1067.10,EUR,Многостаен апартамемент,2024-04-13
Обеля 2,144900.00,1174.23,EUR,Многостаен апартамемент,2024-04-13
Оборище,625527.62,3213.27,EUR,Многостаен апартамемент,2024-04-13
Овча Купел,267331.94,1573.86,EUR,Многостаен апартамемент,2024-04-13
Овча Купел 1,159211.00,1501.99,EUR,Многостаен апартамемент,2024-04-13
Овча Купел 2,225694.25,1437.54,EUR,Многостаен апартамемент,2024-04-13
Павлово,430000.00,2654.32,EUR,Многостаен апартамемент,2024-04-13
Полигона,459446.50,1692.25,EUR,Многостаен апартамемент,2024-04-13
Редута,198000.00,1867.93,EUR,Многостаен апартамемент,2024-04-13
Света Троица,231800.00,1900.00,EUR,Многостаен апартамемент,2024-04-13
Симеоново,498029.56,2130.93,EUR,Многостаен апартамемент,2024-04-13
Слатина,205300.00,1555.30,EUR,Многостаен апартамемент,2024-04-13
Стрелбище,425237.50,2289.30,EUR,Многостаен апартамемент,2024-04-13
Студентски Град,419750.00,2117.28,EUR,Многостаен апартамемент,2024-04-13
Суха Река,289293.16,1823.28,EUR,Многостаен апартамемент,2024-04-13
Хаджи Димитър,307665.66,1774.99,EUR,Многостаен апартамемент,2024-04-13
Хиподрума,376666.50,1574.36,EUR,Многостаен апартамемент,2024-04-13
Хладилника,558660.00,2222.42,EUR,Многостаен апартамемент,2024-04-13
Център,647692.88,3230.55,EUR,Многостаен апартамемент,2024-04-13
Яворов,350000.00,2592.59,EUR,Многостаен апартамемент,2024-04-13
7-ми 11-ти километър,114494.57,1676.70,EUR,Двустаен апартамент,2024-03-12
Банишора,127760.76,1860.45,EUR,Двустаен апартамент,2024-03-12
Банкя (гр.),128146.63,1883.25,EUR,Двустаен апартамент,2024-03-12
Белите Брези,178066.00,2525.76,EUR,Двустаен апартамент,2024-03-12
Бенковски,101450.60,1551.23,EUR,Двустаен апартамент,2024-03-12
Борово,141988.31,2141.35,EUR,Двустаен апартамент,2024-03-12
Бояна,164843.70,329.82,EUR,Двустаен апартамент,2024-03-12
Бъкстон,144784.88,2048.24,EUR,Двустаен апартамент,2024-03-12
Витоша,140535.42,1870.49,EUR,Двустаен апартамент,2024-03-12
Гео Милев,199233.25,2908.51,EUR,Двустаен апартамент,2024-03-12
Горна Баня,166525.19,1839.13,EUR,Двустаен апартамент,2024-03-12
Гоце Делчев,168446.70,2386.33,EUR,Двустаен апартамент,2024-03-12
Дианабад,202771.19,2506.34,EUR,Двустаен апартамент,2024-03-12
Драгалевци,173822.14,1989.92,EUR,Двустаен апартамент,2024-03-12
Дружба,85157.34,1596.70,EUR,Двустаен апартамент,2024-03-12
Дружба 1,112863.31,1605.22,EUR,Двустаен апартамент,2024-03-12
Дружба 2,121722.77,1595.62,EUR,Двустаен апартамент,2024-03-12
Дървеница,128549.52,1858.48,EUR,Двустаен апартамент,2024-03-12
Западен Парк,179228.58,2908.66,EUR,Двустаен апартамент,2024-03-12
Захарна Фабрика,96815.00,1760.27,EUR,Двустаен апартамент,2024-03-12
Зона Б18,148428.81,2225.93,EUR,Двустаен апартамент,2024-03-12
Зона Б19,224950.00,3039.86,EUR,Двустаен апартамент,2024-03-12
Зона Б5,154709.16,2290.68,EUR,Двустаен апартамент,2024-03-12
Иван Вазов,287000.00,3986.11,EUR,Двустаен апартамент,2024-03-12
Изгрев,243680.00,3596.75,EUR,Двустаен апартамент,2024-03-12
Изток,205488.89,3150.60,EUR,Двустаен апартамент,2024-03-12
Илинден,91483.34,1407.44,EUR,Двустаен апартамент,2024-03-12
Княжево,117570.80,1571.80,EUR,Двустаен апартамент,2024-03-12
Красна Поляна,103855.69,1588.61,EUR,Двустаен апартамент,2024-03-12
Красно Село,155681.33,1921.23,EUR,Двустаен апартамент,2024-03-12
Кръстова Вада,165925.52,2090.93,EUR,Двустаен апартамент,2024-03-12
Лагера,181751.72,2292.36,EUR,Двустаен апартамент,2024-03-12
Левски,105290.55,1320.63,EUR,Двустаен апартамент,2024-03-12
Левски В,98374.50,1324.91,EUR,Двустаен апартамент,2024-03-12
Левски Г,112822.25,1805.16,EUR,Двустаен апартамент,2024-03-12
Лозенец,233836.12,2859.82,EUR,Двустаен апартамент,2024-03-12
Люлин 1,112300.00,1718.88,EUR,Двустаен апартамент,2024-03-12
Люлин 10,116584.59,1459.45,EUR,Двустаен апартамент,2024-03-12
Люлин 2,102667.71,1475.62,EUR,Двустаен апартамент,2024-03-12
Люлин 3,110195.45,1662.76,EUR,Двустаен апартамент,2024-03-12
Люлин 4,92009.50,1514.56,EUR,Двустаен апартамент,2024-03-12
Люлин 5,90119.23,1325.87,EUR,Двустаен апартамент,2024-03-12
Люлин 6,98576.48,1442.34,EUR,Двустаен апартамент,2024-03-12
Люлин 7,103980.00,1798.96,EUR,Двустаен апартамент,2024-03-12
Люлин 8,101093.36,1608.31,EUR,Двустаен апартамент,2024-03-12
Люлин 9,99203.09,1556.68,EUR,Двустаен апартамент,2024-03-12
Люлин Център,131334.64,1718.40,EUR,Двустаен апартамент,2024-03-12
м-т Гърдова глава,130750.00,1655.06,EUR,Двустаен апартамент,2024-03-12
Малинова Долина,116233.14,1642.40,EUR,Двустаен апартамент,2024-03-12
Малинова долина в.з.,100400.00,1455.07,EUR,Двустаен апартамент,2024-03-12
Манастирски ливади Запад,174817.14,2295.91,EUR,Двустаен апартамент,2024-03-12
Манастирски ливади Изток,152468.11,1956.75,EUR,Двустаен апартамент,2024-03-12
Младост 1,143732.34,2108.32,EUR,Двустаен апартамент,2024-03-12
Младост 1а,204566.67,2772.74,EUR,Двустаен апартамент,2024-03-12
Младост 2,151624.36,2267.03,EUR,Двустаен апартамент,2024-03-12
Младост 3,148408.42,2180.53,EUR,Двустаен апартамент,2024-03-12
Младост 4,124446.03,1751.91,EUR,Двустаен апартамент,2024-03-12
Мотописта,152500.00,2006.58,EUR,Двустаен апартамент,2024-03-12
Мусагеница,128666.66,2031.58,EUR,Двустаен апартамент,2024-03-12
Надежда 1,110542.29,1615.44,EUR,Двустаен апартамент,2024-03-12
Надежда 2,109049.09,1639.11,EUR,Двустаен апартамент,2024-03-12
Надежда 3,111839.32,1621.93,EUR,Двустаен апартамент,2024-03-12
Надежда 4,97740.05,1507.45,EUR,Двустаен апартамент,2024-03-12
Обеля,87571.00,1291.61,EUR,Двустаен апартамент,2024-03-12
Обеля 1,94357.93,1327.74,EUR,Двустаен апартамент,2024-03-12
Обеля 2,82053.00,1290.63,EUR,Двустаен апартамент,2024-03-12
Оборище,217422.48,3162.51,EUR,Двустаен апартамент,2024-03-12
Овча Купел,123075.99,1642.52,EUR,Двустаен апартамент,2024-03-12
Овча Купел 1,174323.06,2578.32,EUR,Двустаен апартамент,2024-03-12
Овча Купел 2,112631.89,1603.74,EUR,Двустаен апартамент,2024-03-12
Павлово,131918.62,1799.40,EUR,Двустаен апартамент,2024-03-12
Подуене,150558.00,2116.81,EUR,Двустаен апартамент,2024-03-12
Полигона,124241.38,1817.06,EUR,Двустаен апартамент,2024-03-12
Разсадника,150316.53,2098.47,EUR,Двустаен апартамент,2024-03-12
Редута,145195.00,1982.70,EUR,Двустаен апартамент,2024-03-12
Света Троица,136311.06,2200.78,EUR,Двустаен апартамент,2024-03-12
Свобода,112671.82,934.68,EUR,Двустаен апартамент,2024-03-12
Сердика,151948.89,2008.13,EUR,Двустаен апартамент,2024-03-12
Симеоново,149758.11,1986.18,EUR,Двустаен апартамент,2024-03-12
Славия,139819.50,1941.94,EUR,Двустаен апартамент,2024-03-12
Слатина,151284.61,2316.49,EUR,Двустаен апартамент,2024-03-12
Стрелбище,199062.38,2627.89,EUR,Двустаен апартамент,2024-03-12
Студентски Град,119455.67,1678.74,EUR,Двустаен апартамент,2024-03-12
Суха Река,136511.73,1893.94,EUR,Двустаен апартамент,2024-03-12
Толстой,116123.45,1686.28,EUR,Двустаен апартамент,2024-03-12
Факултета,133000.00,1583.33,EUR,Двустаен апартамент,2024-03-12
Фондови Жилища,111500.00,1715.39,EUR,Двустаен апартамент,2024-03-12
Хаджи Димитър,121402.20,1743.37,EUR,Двустаен апартамент,2024-03-12
Хиподрума,185725.00,2591.51,EUR,Двустаен апартамент,2024-03-12
Хладилника,195126.23,2413.03,EUR,Двустаен апартамент,2024-03-12
Център,192966.09,2707.46,EUR,Двустаен апартамент,2024-03-12
Яворов,272500.00,3516.13,EUR,Двустаен апартамент,2024-03-12
7-ми 11-ти километър,175971.75,1633.15,EUR,Тристаен апартамент,2024-03-12
Банишора,184920.25,1929.30,EUR,Тристаен апартамент,2024-03-12
Банкя (гр.),223787.17,1826.01,EUR,Тристаен апартамент,2024-03-12
Белите Брези,240325.00,2197.26,EUR,Тристаен апартамент,2024-03-12
Борово,233119.19,2348.27,EUR,Тристаен апартамент,2024-03-12
Бояна,269771.81,2147.99,EUR,Тристаен апартамент,2024-03-12
Бъкстон,213143.39,1912.65,EUR,Тристаен апартамент,2024-03-12
Витоша,244241.36,2045.37,EUR,Тристаен апартамент,2024-03-12
Гевгелийски,300000.00,3157.90,EUR,Тристаен апартамент,2024-03-12
Гео Милев,258633.14,2619.51,EUR,Тристаен апартамент,2024-03-12
Горна Баня,191998.75,1787.22,EUR,Тристаен апартамент,2024-03-12
Гоце Делчев,248394.98,2209.48,EUR,Тристаен апартамент,2024-03-12
Дианабад,309280.72,2406.36,EUR,Тристаен апартамент,2024-03-12
Драгалевци,265073.66,1969.76,EUR,Тристаен апартамент,2024-03-12
Дружба,155820.00,1512.82,EUR,Тристаен апартамент,2024-03-12
Дружба 1,164998.14,1390.65,EUR,Тристаен апартамент,2024-03-12
Дружба 2,184627.97,1642.02,EUR,Тристаен апартамент,2024-03-12
Дървеница,215220.30,1992.40,EUR,Тристаен апартамент,2024-03-12
Западен Парк,149566.67,1955.12,EUR,Тристаен апартамент,2024-03-12
Захарна Фабрика,126333.34,1669.60,EUR,Тристаен апартамент,2024-03-12
Зона Б18,215440.00,2127.80,EUR,Тристаен апартамент,2024-03-12
Зона Б19,259332.67,2225.40,EUR,Тристаен апартамент,2024-03-12
Зона Б5,258832.00,2211.38,EUR,Тристаен апартамент,2024-03-12
Иван Вазов,407833.34,2659.78,EUR,Тристаен апартамент,2024-03-12
Изгрев,374104.81,3141.10,EUR,Тристаен апартамент,2024-03-12
Изток,372484.56,3189.69,EUR,Тристаен апартамент,2024-03-12
Илинден,180655.56,2065.95,EUR,Тристаен апартамент,2024-03-12
Илиянци,170000.00,2000.00,EUR,Тристаен апартамент,2024-03-12
Княжево,186813.39,1739.67,EUR,Тристаен апартамент,2024-03-12
Красна Поляна,131629.66,1479.43,EUR,Тристаен апартамент,2024-03-12
Красно Село,238569.50,1827.71,EUR,Тристаен апартамент,2024-03-12
Кръстова Вада,242773.31,1976.29,EUR,Тристаен апартамент,2024-03-12
Лагера,241853.36,2009.46,EUR,Тристаен апартамент,2024-03-12
Левски,148980.12,1271.97,EUR,Тристаен апартамент,2024-03-12
Левски В,173542.45,1391.38,EUR,Тристаен апартамент,2024-03-12
Левски Г,171354.00,1813.27,EUR,Тристаен апартамент,2024-03-12
Лозенец,430251.50,3124.89,EUR,Тристаен апартамент,2024-03-12
Люлин 1,131733.89,1520.01,EUR,Тристаен апартамент,2024-03-12
Люлин 10,166173.69,1641.86,EUR,Тристаен апартамент,2024-03-12
Люлин 2,160900.09,1361.43,EUR,Тристаен апартамент,2024-03-12
Люлин 3,149126.16,1659.87,EUR,Тристаен апартамент,2024-03-12
Люлин 4,143725.00,1729.02,EUR,Тристаен апартамент,2024-03-12
Люлин 5,133174.59,1324.67,EUR,Тристаен апартамент,2024-03-12
Люлин 6,133188.84,1415.32,EUR,Тристаен апартамент,2024-03-12
Люлин 8,139019.55,1511.08,EUR,Тристаен апартамент,2024-03-12
Люлин 9,177797.73,1597.86,EUR,Тристаен апартамент,2024-03-12
Люлин Център,175782.44,1619.18,EUR,Тристаен апартамент,2024-03-12
м-т Гърдова глава,360000.00,3076.92,EUR,Тристаен апартамент,2024-03-12
Малинова Долина,189449.55,1303.89,EUR,Тристаен апартамент,2024-03-12
Малинова долина в.з.,481127.50,2924.79,EUR,Тристаен апартамент,2024-03-12
Манастирски ливади Запад,225943.44,1787.53,EUR,Тристаен апартамент,2024-03-12
Манастирски ливади Изток,252575.83,2059.65,EUR,Тристаен апартамент,2024-03-12
Младост 1,207683.09,2072.88,EUR,Тристаен апартамент,2024-03-12
Младост 1а,229228.58,2449.77,EUR,Тристаен апартамент,2024-03-12
Младост 2,217192.23,1984.02,EUR,Тристаен апартамент,2024-03-12
Младост 3,240802.86,2268.67,EUR,Тристаен апартамент,2024-03-12
Младост 4,198390.98,1790.98,EUR,Тристаен апартамент,2024-03-12
Мусагеница,175666.67,2108.00,EUR,Тристаен апартамент,2024-03-12
Надежда 1,168672.78,1846.78,EUR,Тристаен апартамент,2024-03-12
Надежда 2,158206.97,1664.73,EUR,Тристаен апартамент,2024-03-12
Надежда 3,151243.33,1620.46,EUR,Тристаен апартамент,2024-03-12
Надежда 4,125093.80,1397.09,EUR,Тристаен апартамент,2024-03-12
Обеля,132255.67,1227.75,EUR,Тристаен апартамент,2024-03-12
Обеля 1,124792.41,1424.84,EUR,Тристаен апартамент,2024-03-12
Обеля 2,120293.91,1290.44,EUR,Тристаен апартамент,2024-03-12
Оборище,369886.62,2870.14,EUR,Тристаен апартамент,2024-03-12
Овча Купел,177954.08,1636.32,EUR,Тристаен апартамент,2024-03-12
Овча Купел 1,172590.05,1582.19,EUR,Тристаен апартамент,2024-03-12
Овча Купел 2,173763.61,1487.54,EUR,Тристаен апартамент,2024-03-12
Павлово,220578.77,1746.21,EUR,Тристаен апартамент,2024-03-12
Подуене,199591.50,2059.77,EUR,Тристаен апартамент,2024-03-12
Полигона,227757.50,1897.98,EUR,Тристаен апартамент,2024-03-12
Разсадника,182250.00,1664.38,EUR,Тристаен апартамент,2024-03-12
Редута,222170.67,2057.70,EUR,Тристаен апартамент,2024-03-12
Света Троица,173094.16,1918.78,EUR,Тристаен апартамент,2024-03-12
Свобода,141666.67,1872.25,EUR,Тристаен апартамент,2024-03-12
Сердика,230840.67,1952.27,EUR,Тристаен апартамент,2024-03-12
Симеоново,319351.59,2162.04,EUR,Тристаен апартамент,2024-03-12
Славия,171775.00,1852.02,EUR,Тристаен апартамент,2024-03-12
Слатина,172674.00,1596.06,EUR,Тристаен апартамент,2024-03-12
Стрелбище,250951.20,2354.14,EUR,Тристаен апартамент,2024-03-12
Студентски Град,196243.17,1680.44,EUR,Тристаен апартамент,2024-03-12
Суха Река,203963.41,1903.91,EUR,Тристаен апартамент,2024-03-12
Толстой,135965.00,1507.37,EUR,Тристаен апартамент,2024-03-12
Фондови Жилища,149000.00,2098.59,EUR,Тристаен апартамент,2024-03-12
Хаджи Димитър,182327.08,1762.77,EUR,Тристаен апартамент,2024-03-12
Хиподрума,284870.81,2416.02,EUR,Тристаен апартамент,2024-03-12
Хладилника,311438.09,2405.53,EUR,Тристаен апартамент,2024-03-12
Център,315739.81,2899.69,EUR,Тристаен апартамент,2024-03-12
Яворов,306221.66,3200.92,EUR,Тристаен апартамент,2024-03-12
Банишора,322500.00,1757.49,EUR,Къща,2024-03-12
Банкя (гр.),521790.19,1498.09,EUR,Къща,2024-03-12
Бенковски,600000.00,1550.39,EUR,Къща,2024-03-12
Бояна,970516.19,2500.66,EUR,Къща,2024-03-12
Бъкстон,769750.00,2185.24,EUR,Къща,2024-03-12
Витоша,512500.00,1193.25,EUR,Къща,2024-03-12
Горна Баня,611965.19,1694.39,EUR,Къща,2024-03-12
Драгалевци,830045.06,2162.64,EUR,Къща,2024-03-12
Иван Вазов,400000.00,4545.46,EUR,Къща,2024-03-12
Изток,939999.00,3418.18,EUR,Къща,2024-03-12
Княжево,442614.62,1578.60,EUR,Къща,2024-03-12
Красна Поляна,133000.00,665.00,EUR,Къща,2024-03-12
Кръстова Вада,694875.00,2536.04,EUR,Къща,2024-03-12
Левски,765000.00,1700.00,EUR,Къща,2024-03-12
Лозенец,775357.12,2436.04,EUR,Къща,2024-03-12
Люлин 8,200000.00,3030.30,EUR,Къща,2024-03-12
м-т Гърдова глава,545000.00,1856.90,EUR,Къща,2024-03-12
м-т Детски град,849802.50,2197.29,EUR,Къща,2024-03-12
Малашевци,250000.00,1785.71,EUR,Къща,2024-03-12
Малинова Долина,782622.12,2033.96,EUR,Къща,2024-03-12
Малинова долина в.з.,687500.00,3262.16,EUR,Къща,2024-03-12
Младост 1а,800000.00,1574.80,EUR,Къща,2024-03-12
Надежда 2,360000.00,3130.44,EUR,Къща,2024-03-12
Надежда 3,300000.00,2564.10,EUR,Къща,2024-03-12
Надежда 4,340000.00,1305.18,EUR,Къща,2024-03-12
Обеля,189358.00,2122.85,EUR,Къща,2024-03-12
Обеля 1,189990.00,2968.59,EUR,Къща,2024-03-12
Оборище,1275000.00,3007.07,EUR,Къща,2024-03-12
Павлово,979995.00,2522.51,EUR,Къща,2024-03-12
Редута,586300.00,2456.56,EUR,Къща,2024-03-12
Симеоново,944514.69,2134.21,EUR,Къща,2024-03-12
Требич,122000.00,1564.10,EUR,Къща,2024-03-12
Факултета,230666.67,1624.41,EUR,Къща,2024-03-12
Филиповци,260000.00,986.72,EUR,Къща,2024-03-12
Център,1366516.00,3354.90,EUR,Къща,2024-03-12
Яворов,3000000.00,3000.00,EUR,Къща,2024-03-12
Банишора,36381.33,1653.70,EUR,"Гараж, паркомясто",2024-03-12
Борово,65000.00,1857.14,EUR,"Гараж, паркомясто",2024-03-12
Бъкстон,20000.00,740.74,EUR,"Гараж, паркомясто",2024-03-12
Витоша,33666.67,1578.13,EUR,"Гараж, паркомясто",2024-03-12
Гео Милев,40166.67,1746.38,EUR,"Гараж, паркомясто",2024-03-12
Горна Баня,11100.00,1009.09,EUR,"Гараж, паркомясто",2024-03-12
Дианабад,28000.00,2000.00,EUR,"Гараж, паркомясто",2024-03-12
Дружба 1,25000.00,1086.96,EUR,"Гараж, паркомясто",2024-03-12
Зона Б19,36000.00,1565.22,EUR,"Гараж, паркомясто",2024-03-12
Зона Б5,25000.00,1562.50,EUR,"Гараж, паркомясто",2024-03-12
Изток,73000.00,2147.06,EUR,"Гараж, паркомясто",2024-03-12
Кръстова Вада,36250.00,1150.79,EUR,"Гараж, паркомясто",2024-03-12
Левски Г,9500.00,791.67,EUR,"Гараж, паркомясто",2024-03-12
Лозенец,31500.00,1890.00,EUR,"Гараж, паркомясто",2024-03-12
Люлин 1,18500.00,925.00,EUR,"Гараж, паркомясто",2024-03-12
Люлин 3,26000.00,1368.42,EUR,"Гараж, паркомясто",2024-03-12
Люлин 5,17000.00,1000.00,EUR,"Гараж, паркомясто",2024-03-12
Люлин 8,27500.00,1571.43,EUR,"Гараж, паркомясто",2024-03-12
Люлин 9,17900.00,1118.75,EUR,"Гараж, паркомясто",2024-03-12
Малинова Долина,55200.00,1971.43,EUR,"Гараж, паркомясто",2024-03-12
Манастирски ливади Запад,35750.00,1881.58,EUR,"Гараж, паркомясто",2024-03-12
Младост 2,26250.00,1071.43,EUR,"Гараж, паркомясто",2024-03-12
Надежда 2,20000.00,1052.63,EUR,"Гараж, паркомясто",2024-03-12
Надежда 4,30000.00,1200.00,EUR,"Гараж, паркомясто",2024-03-12
Оборище,92750.00,4215.91,EUR,"Гараж, паркомясто",2024-03-12
Овча Купел,36666.67,1506.85,EUR,"Гараж, паркомясто",2024-03-12
Павлово,28500.00,1628.57,EUR,"Гараж, паркомясто",2024-03-12
Подуене,20000.00,1000.00,EUR,"Гараж, паркомясто",2024-03-12
Редута,36500.00,1312.95,EUR,"Гараж, паркомясто",2024-03-12
Света Троица,44000.00,1913.04,EUR,"Гараж, паркомясто",2024-03-12
Слатина,60000.00,1764.71,EUR,"Гараж, паркомясто",2024-03-12
Стрелбище,55000.00,2200.00,EUR,"Гараж, паркомясто",2024-03-12
Студентски Град,40563.33,1843.79,EUR,"Гараж, паркомясто",2024-03-12
Суха Река,37750.00,1540.82,EUR,"Гараж, паркомясто",2024-03-12
Хаджи Димитър,25500.00,1500.00,EUR,"Гараж, паркомясто",2024-03-12
Хиподрума,54500.00,1602.94,EUR,"Гараж, паркомясто",2024-03-12
Център,38466.67,1602.78,EUR,"Гараж, паркомясто",2024-03-12
Банишора,55000.00,1309.52,EUR,"Ателие, таван, студио",2024-03-12
Дружба 2,116962.50,1549.17,EUR,"Ателие, таван, студио",2024-03-12
Илинден,71000.00,993.01,EUR,"Ателие, таван, студио",2024-03-12
Кръстова Вада,104000.00,1600.00,EUR,"Ателие, таван, студио",2024-03-12
Младост 3,277920.00,1999.42,EUR,"Ателие, таван, студио",2024-03-12
Младост 4,138153.33,1698.61,EUR,"Ателие, таван, студио",2024-03-12
Обеля,72902.50,1104.58,EUR,"Ателие, таван, студио",2024-03-12
Оборище,164063.33,2247.44,EUR,"Ателие, таван, студио",2024-03-12
Овча Купел,140202.50,1434.30,EUR,"Ателие, таван, студио",2024-03-12
Овча Купел 2,230090.00,1818.89,EUR,"Ателие, таван, студио",2024-03-12
Подуене,127660.66,2015.70,EUR,"Ателие, таван, студио",2024-03-12
Симеоново,106100.00,1360.26,EUR,"Ателие, таван, студио",2024-03-12
Студентски Град,82500.00,2171.05,EUR,"Ателие, таван, студио",2024-03-12
Суха Река,127660.66,2015.70,EUR,"Ателие, таван, студио",2024-03-12
Център,127054.57,2229.03,EUR,"Ателие, таван, студио",2024-03-12
Банишора,260858.25,1786.70,EUR,Многостаен апартамемент,2024-03-12
Банкя (гр.),359250.00,2214.18,EUR,Многостаен апартамемент,2024-03-12
Белите Брези,333000.00,1606.11,EUR,Многостаен апартамемент,2024-03-12
Борово,345419.00,2019.99,EUR,Многостаен апартамемент,2024-03-12
Бояна,521424.31,2317.12,EUR,Многостаен апартамемент,2024-03-12
Бъкстон,281362.16,1676.44,EUR,Многостаен апартамемент,2024-03-12
Витоша,452264.25,1786.04,EUR,Многостаен апартамемент,2024-03-12
Гео Милев,409583.34,2362.98,EUR,Многостаен апартамемент,2024-03-12
Горна Баня,493272.00,1700.94,EUR,Многостаен апартамемент,2024-03-12
Гоце Делчев,702800.00,2043.02,EUR,Многостаен апартамемент,2024-03-12
Дианабад,593800.00,2800.94,EUR,Многостаен апартамемент,2024-03-12
Драгалевци,575279.44,2147.51,EUR,Многостаен апартамемент,2024-03-12
Дружба 1,600362.00,1644.83,EUR,Многостаен апартамемент,2024-03-12
Дружба 2,348722.22,2210.21,EUR,Многостаен апартамемент,2024-03-12
Дървеница,441057.50,2384.09,EUR,Многостаен апартамемент,2024-03-12
Зона Б19,259999.00,1604.93,EUR,Многостаен апартамемент,2024-03-12
Иван Вазов,933149.31,4099.95,EUR,Многостаен апартамемент,2024-03-12
Изгрев,800000.00,3636.36,EUR,Многостаен апартамемент,2024-03-12
Изток,569400.00,2664.58,EUR,Многостаен апартамемент,2024-03-12
Илинден,210000.00,1962.62,EUR,Многостаен апартамемент,2024-03-12
Красна Поляна,185428.83,1277.35,EUR,Многостаен апартамемент,2024-03-12
Красно Село,450863.81,2060.62,EUR,Многостаен апартамемент,2024-03-12
Кръстова Вада,552412.69,2413.34,EUR,Многостаен апартамемент,2024-03-12
Лагера,393575.00,2284.91,EUR,Многостаен апартамемент,2024-03-12
Левски В,185000.00,1697.25,EUR,Многостаен апартамемент,2024-03-12
Лозенец,706953.94,2533.52,EUR,Многостаен апартамемент,2024-03-12
Люлин 2,202783.69,1472.54,EUR,Многостаен апартамемент,2024-03-12
Люлин 5,174909.00,1293.88,EUR,Многостаен апартамемент,2024-03-12
Люлин 6,259216.00,1432.13,EUR,Многостаен апартамемент,2024-03-12
Люлин 7,175000.00,1458.33,EUR,Многостаен апартамемент,2024-03-12
Люлин 9,252975.00,1163.10,EUR,Многостаен апартамемент,2024-03-12
Люлин Център,257450.00,1438.27,EUR,Многостаен апартамемент,2024-03-12
м-т Гърдова глава,354999.00,2191.35,EUR,Многостаен апартамемент,2024-03-12
