Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
Обеля 1,167300.00,1879.78,EUR,Двустаен апартамент,2023-07-28
Обеля 2,97421.00,1571.31,EUR,Двустаен апартамент,2023-07-28
Оборище,185310.05,2648.06,EUR,Двустаен апартамент,2023-07-28
Овча Купел,115347.70,1514.97,EUR,Двустаен апартамент,2023-07-28
Овча Купел 1,107311.21,1690.64,EUR,Двустаен апартамент,2023-07-28
Овча Купел 2,103032.71,1487.84,EUR,Двустаен апартамент,2023-07-28
Павлово,141442.39,2015.81,EUR,Двустаен апартамент,2023-07-28
Подуене,127023.63,1821.72,EUR,Двустаен апартамент,2023-07-28
Полигона,127059.38,1811.90,EUR,Двустаен апартамент,2023-07-28
Разсадника,116414.29,1771.52,EUR,Двустаен апартамент,2023-07-28
Редута,125666.38,1836.22,EUR,Двустаен апартамент,2023-07-28
Света Троица,124633.41,1932.30,EUR,Двустаен апартамент,2023-07-28
Свобода,87666.66,1369.79,EUR,Двустаен апартамент,2023-07-28
Сердика,126054.27,1789.16,EUR,Двустаен апартамент,2023-07-28
Симеоново,153899.55,1942.78,EUR,Двустаен апартамент,2023-07-28
Славия,167701.33,1693.95,EUR,Двустаен апартамент,2023-07-28
Слатина,126981.70,2009.95,EUR,Двустаен апартамент,2023-07-28
Стрелбище,175115.00,2333.31,EUR,Двустаен апартамент,2023-07-28
Студентски Град,122560.66,1672.10,EUR,Двустаен апартамент,2023-07-28
Суха Река,124327.38,1748.92,EUR,Двустаен апартамент,2023-07-28
Толстой,112654.53,1632.67,EUR,Двустаен апартамент,2023-07-28
Факултета,133000.00,1583.33,EUR,Двустаен апартамент,2023-07-28
Фондови Жилища,103857.14,1550.11,EUR,Двустаен апартамент,2023-07-28
Хаджи Димитър,115874.95,1691.29,EUR,Двустаен апартамент,2023-07-28
Хиподрума,165558.75,2275.72,EUR,Двустаен апартамент,2023-07-28
Хладилника,185618.88,2425.70,EUR,Двустаен апартамент,2023-07-28
Център,179250.19,2489.07,EUR,Двустаен апартамент,2023-07-28
Яворов,152966.67,2781.21,EUR,Двустаен апартамент,2023-07-28
Банишора,202341.20,2017.31,EUR,Тристаен апартамент,2023-07-28
Банкя (гр.),228656.25,1903.49,EUR,Тристаен апартамент,2023-07-28
Белите Брези,266593.75,2109.54,EUR,Тристаен апартамент,2023-07-28
Бенковски,128494.66,1476.95,EUR,Тристаен апартамент,2023-07-28
Борово,215466.23,2306.92,EUR,Тристаен апартамент,2023-07-28
Бояна,281168.31,2204.84,EUR,Тристаен апартамент,2023-07-28
Бъкстон,277383.66,2482.59,EUR,Тристаен апартамент,2023-07-28
Витоша,254794.94,2044.20,EUR,Тристаен апартамент,2023-07-28
Гео Милев,278828.72,2773.94,EUR,Тристаен апартамент,2023-07-28
Горна Баня,223121.38,1922.67,EUR,Тристаен апартамент,2023-07-28
Гоце Делчев,252980.14,2288.66,EUR,Тристаен апартамент,2023-07-28
Дианабад,297810.91,2382.49,EUR,Тристаен апартамент,2023-07-28
Драгалевци,284731.91,2198.86,EUR,Тристаен апартамент,2023-07-28
Дружба,168164.33,1827.87,EUR,Тристаен апартамент,2023-07-28
Дружба 1,201195.64,1678.69,EUR,Тристаен апартамент,2023-07-28
Дружба 2,227306.16,1839.47,EUR,Тристаен апартамент,2023-07-28
Дървеница,254748.70,2223.31,EUR,Тристаен апартамент,2023-07-28
Западен Парк,125966.66,1741.47,EUR,Тристаен апартамент,2023-07-28
Захарна Фабрика,137000.00,1723.27,EUR,Тристаен апартамент,2023-07-28
Зона Б18,214656.36,2161.82,EUR,Тристаен апартамент,2023-07-28
Зона Б19,260551.12,2374.04,EUR,Тристаен апартамент,2023-07-28
Зона Б5,268418.94,2292.87,EUR,Тристаен апартамент,2023-07-28
Иван Вазов,421500.00,3032.37,EUR,Тристаен апартамент,2023-07-28
Изгрев,338442.62,3034.95,EUR,Тристаен апартамент,2023-07-28
Изток,315092.78,3185.05,EUR,Тристаен апартамент,2023-07-28
Илинден,187679.80,2037.78,EUR,Тристаен апартамент,2023-07-28
Княжево,220733.33,1932.49,EUR,Тристаен апартамент,2023-07-28
Красна Поляна,128821.62,1479.33,EUR,Тристаен апартамент,2023-07-28
Красно Село,230646.97,1765.85,EUR,Тристаен апартамент,2023-07-28
Кръстова Вада,258684.14,2103.41,EUR,Тристаен апартамент,2023-07-28
Лагера,269378.22,17.40,EUR,Тристаен апартамент,2023-07-28
Левски,159560.09,1335.74,EUR,Тристаен апартамент,2023-07-28
Левски В,154885.06,1467.64,EUR,Тристаен апартамент,2023-07-28
Левски Г,156700.00,1768.62,EUR,Тристаен апартамент,2023-07-28
Лозенец,449972.12,3210.08,EUR,Тристаен апартамент,2023-07-28
Люлин 1,125142.86,1569.89,EUR,Тристаен апартамент,2023-07-28
Люлин 10,200416.67,1576.02,EUR,Тристаен апартамент,2023-07-28
Люлин 2,165741.81,1343.50,EUR,Тристаен апартамент,2023-07-28
Люлин 3,168466.67,1940.12,EUR,Тристаен апартамент,2023-07-28
Люлин 4,160833.33,1937.75,EUR,Тристаен апартамент,2023-07-28
Люлин 5,149162.67,1404.88,EUR,Тристаен апартамент,2023-07-28
Люлин 6,149498.50,1670.37,EUR,Тристаен апартамент,2023-07-28
Люлин 7,166950.00,2086.88,EUR,Тристаен апартамент,2023-07-28
Люлин 8,138788.95,1479.21,EUR,Тристаен апартамент,2023-07-28
Люлин 9,137174.41,1428.47,EUR,Тристаен апартамент,2023-07-28
Люлин Център,179739.19,1640.30,EUR,Тристаен апартамент,2023-07-28
м-т Гърдова глава,239023.33,2439.01,EUR,Тристаен апартамент,2023-07-28
м-т Детски град,244000.00,2392.16,EUR,Тристаен апартамент,2023-07-28
Малинова Долина,199562.94,1333.52,EUR,Тристаен апартамент,2023-07-28
Малинова долина в.з.,464500.00,2369.90,EUR,Тристаен апартамент,2023-07-28
Манастирски ливади Запад,263887.50,1887.44,EUR,Тристаен апартамент,2023-07-28
Манастирски ливади Изток,253446.28,2219.32,EUR,Тристаен апартамент,2023-07-28
Младост 1,215677.05,2239.21,EUR,Тристаен апартамент,2023-07-28
Младост 1а,257550.00,2435.46,EUR,Тристаен апартамент,2023-07-28
Младост 2,238202.42,2007.32,EUR,Тристаен апартамент,2023-07-28
Младост 3,183164.00,1936.19,EUR,Тристаен апартамент,2023-07-28
Младост 4,198781.86,1807.65,EUR,Тристаен апартамент,2023-07-28
Мусагеница,209953.33,2202.31,EUR,Тристаен апартамент,2023-07-28
Надежда 1,193999.89,1910.28,EUR,Тристаен апартамент,2023-07-28
Надежда 2,160987.73,1788.75,EUR,Тристаен апартамент,2023-07-28
Надежда 3,144778.00,1667.95,EUR,Тристаен апартамент,2023-07-28
Надежда 4,138071.83,1631.15,EUR,Тристаен апартамент,2023-07-28
Обеля,145825.00,1559.63,EUR,Тристаен апартамент,2023-07-28
Обеля 1,137411.14,1388.63,EUR,Тристаен апартамент,2023-07-28
Обеля 2,136975.00,1733.86,EUR,Тристаен апартамент,2023-07-28
Оборище,382795.62,2954.78,EUR,Тристаен апартамент,2023-07-28
Овча Купел,186787.09,1692.40,EUR,Тристаен апартамент,2023-07-28
Овча Купел 1,170791.05,1583.44,EUR,Тристаен апартамент,2023-07-28
Овча Купел 2,178620.97,1579.22,EUR,Тристаен апартамент,2023-07-28
Павлово,226261.53,1897.68,EUR,Тристаен апартамент,2023-07-28
Подуене,202206.45,1932.47,EUR,Тристаен апартамент,2023-07-28
Полигона,230692.86,1876.60,EUR,Тристаен апартамент,2023-07-28
Разсадника,198818.19,1845.57,EUR,Тристаен апартамент,2023-07-28
Редута,239568.12,2174.98,EUR,Тристаен апартамент,2023-07-28
Света Троица,177335.00,1908.88,EUR,Тристаен апартамент,2023-07-28
Свобода,137100.00,1566.86,EUR,Тристаен апартамент,2023-07-28
Сердика,255431.78,2020.11,EUR,Тристаен апартамент,2023-07-28
Симеоново,278956.25,2195.27,EUR,Тристаен апартамент,2023-07-28
Славия,197508.00,1607.39,EUR,Тристаен апартамент,2023-07-28
Слатина,156558.92,1519.99,EUR,Тристаен апартамент,2023-07-28
Стрелбище,323099.59,2734.27,EUR,Тристаен апартамент,2023-07-28
Студентски Град,202976.98,1678.87,EUR,Тристаен апартамент,2023-07-28
Суха Река,216323.27,1955.62,EUR,Тристаен апартамент,2023-07-28
Толстой,146430.59,1681.18,EUR,Тристаен апартамент,2023-07-28
Хаджи Димитър,206412.53,1951.23,EUR,Тристаен апартамент,2023-07-28
Хиподрума,280814.16,2444.90,EUR,Тристаен апартамент,2023-07-28
Хладилника,342459.75,2653.52,EUR,Тристаен апартамент,2023-07-28
Център,304702.28,2711.41,EUR,Тристаен апартамент,2023-07-28
Яворов,283216.00,2720.61,EUR,Тристаен апартамент,2023-07-28
Банкя (гр.),504535.56,1413.91,EUR,Къща,2023-07-28
Бенковски,545000.00,1408.27,EUR,Къща,2023-07-28
Бояна,906659.00,2262.63,EUR,Къща,2023-07-28
Бъкстон,899666.69,2501.39,EUR,Къща,2023-07-28
Витоша,1178750.00,1713.30,EUR,Къща,2023-07-28
Врана - Лозен в.з.,300000.00,1229.51,EUR,Къща,2023-07-28
Горна Баня,425668.53,1367.09,EUR,Къща,2023-07-28
Гоце Делчев,490000.00,2450.00,EUR,Къща,2023-07-28
Драгалевци,817249.81,1987.03,EUR,Къща,2023-07-28
Западен Парк,97500.00,809.13,EUR,Къща,2023-07-28
Изток,2245000.00,7741.38,EUR,Къща,2023-07-28
Илиянци,339500.00,1131.67,EUR,Къща,2023-07-28
Княжево,507163.09,1725.84,EUR,Къща,2023-07-28
Красна Поляна,183250.00,1016.64,EUR,Къща,2023-07-28
Кръстова Вада,1031041.50,2702.60,EUR,Къща,2023-07-28
Левски,765000.00,1700.00,EUR,Къща,2023-07-28
Лозенец,925000.00,2179.03,EUR,Къща,2023-07-28
Люлин 1,283501.00,994.74,EUR,Къща,2023-07-28
Люлин 10,117647.00,784.31,EUR,Къща,2023-07-28
м-т Гърдова глава,330003.00,1000.01,EUR,Къща,2023-07-28
м-т Детски град,1021770.19,2097.23,EUR,Къща,2023-07-28
Малашевци,150000.00,1666.67,EUR,Къща,2023-07-28
Малинова Долина,837673.06,1908.89,EUR,Къща,2023-07-28
Малинова долина в.з.,1054859.38,2487.88,EUR,Къща,2023-07-28
Манастирски ливади Изток,1160000.00,1589.04,EUR,Къща,2023-07-28
Младост 1а,800000.00,1574.80,EUR,Къща,2023-07-28
Младост 4,350000.00,2800.00,EUR,Къща,2023-07-28
Надежда 4,720000.00,1550.05,EUR,Къща,2023-07-28
Оборище,1345000.00,4468.44,EUR,Къща,2023-07-28
Павлово,842666.69,2306.57,EUR,Къща,2023-07-28
Редута,325777.81,1840.55,EUR,Къща,2023-07-28
Симеоново,893844.12,2203.50,EUR,Къща,2023-07-28
Слатина,320000.00,3440.86,EUR,Къща,2023-07-28
Студентски Град,3000000.00,1500.00,EUR,Къща,2023-07-28
Суха Река,157000.00,2180.56,EUR,Къща,2023-07-28
Требич,122000.00,1564.10,EUR,Къща,2023-07-28
Факултета,449000.00,2245.00,EUR,Къща,2023-07-28
Филиповци,315000.00,913.04,EUR,Къща,2023-07-28
Център,774082.50,2192.60,EUR,Къща,2023-07-28
Яворов,2474800.00,3172.82,EUR,Къща,2023-07-28
Банишора,33559.60,1568.21,EUR,"Гараж, паркомясто",2023-07-28
Белите Брези,44924.00,1826.18,EUR,"Гараж, паркомясто",2023-07-28
Борово,43500.00,1450.00,EUR,"Гараж, паркомясто",2023-07-28
Бъкстон,20000.00,1666.67,EUR,"Гараж, паркомясто",2023-07-28
Витоша,33000.00,1650.00,EUR,"Гараж, паркомясто",2023-07-28
Гео Милев,37700.00,1508.00,EUR,"Гараж, паркомясто",2023-07-28
Горна Баня,20250.00,736.36,EUR,"Гараж, паркомясто",2023-07-28
Гоце Делчев,24000.00,2000.00,EUR,"Гараж, паркомясто",2023-07-28
Драгалевци,28900.00,1445.00,EUR,"Гараж, паркомясто",2023-07-28
Дървеница,25000.00,1785.71,EUR,"Гараж, паркомясто",2023-07-28
Зона Б19,15000.00,1071.43,EUR,"Гараж, паркомясто",2023-07-28
Зона Б5,25500.00,1342.10,EUR,"Гараж, паркомясто",2023-07-28
Изток,37766.67,1002.65,EUR,"Гараж, паркомясто",2023-07-28
Красно Село,41750.00,1265.15,EUR,"Гараж, паркомясто",2023-07-28
Кръстова Вада,40000.00,1600.00,EUR,"Гараж, паркомясто",2023-07-28
Левски Г,9500.00,791.67,EUR,"Гараж, паркомясто",2023-07-28
Лозенец,34500.00,2078.31,EUR,"Гараж, паркомясто",2023-07-28
Люлин 1,22000.00,1000.00,EUR,"Гараж, паркомясто",2023-07-28
Люлин 5,17000.00,1000.00,EUR,"Гараж, паркомясто",2023-07-28
Люлин 6,16000.00,1142.86,EUR,"Гараж, паркомясто",2023-07-28
Люлин 7,42000.00,933.33,EUR,"Гараж, паркомясто",2023-07-28
Малинова Долина,14455.00,850.29,EUR,"Гараж, паркомясто",2023-07-28
Манастирски ливади Запад,25500.00,1645.16,EUR,"Гараж, паркомясто",2023-07-28
Манастирски ливади Изток,28000.00,1166.67,EUR,"Гараж, паркомясто",2023-07-28
Младост 4,28000.00,1120.00,EUR,"Гараж, паркомясто",2023-07-28
Надежда 3,38500.00,802.08,EUR,"Гараж, паркомясто",2023-07-28
Оборище,92750.00,4215.91,EUR,"Гараж, паркомясто",2023-07-28
Овча Купел,22000.00,1222.22,EUR,"Гараж, паркомясто",2023-07-28
Овча Купел 1,29500.00,756.41,EUR,"Гараж, паркомясто",2023-07-28
Павлово,25625.00,1366.67,EUR,"Гараж, паркомясто",2023-07-28
Подуене,40500.00,2250.00,EUR,"Гараж, паркомясто",2023-07-28
Полигона,37000.00,2114.29,EUR,"Гараж, паркомясто",2023-07-28
Редута,48799.67,724.75,EUR,"Гараж, паркомясто",2023-07-28
Сердика,15000.00,535.71,EUR,"Гараж, паркомясто",2023-07-28
Слатина,37700.00,1570.83,EUR,"Гараж, паркомясто",2023-07-28
Студентски Град,30450.00,1429.58,EUR,"Гараж, паркомясто",2023-07-28
Хладилника,25500.00,1593.75,EUR,"Гараж, паркомясто",2023-07-28
Център,36686.25,1120.19,EUR,"Гараж, паркомясто",2023-07-28
Гео Милев,90000.00,1875.00,EUR,"Ателие, таван, студио",2023-07-28
Дружба 2,156000.00,1500.00,EUR,"Ателие, таван, студио",2023-07-28
Иван Вазов,149500.00,1801.20,EUR,"Ателие, таван, студио",2023-07-28
Илинден,70500.00,986.01,EUR,"Ателие, таван, студио",2023-07-28
Лозенец,49800.00,1509.09,EUR,"Ателие, таван, студио",2023-07-28
м-т Гърдова глава,160000.00,1666.67,EUR,"Ателие, таван, студио",2023-07-28
Младост 3,295560.00,1997.03,EUR,"Ателие, таван, студио",2023-07-28
Оборище,143750.00,2281.75,EUR,"Ателие, таван, студио",2023-07-28
Овча Купел,102700.00,1300.00,EUR,"Ателие, таван, студио",2023-07-28
Подуене,87500.00,1822.92,EUR,"Ателие, таван, студио",2023-07-28
Стрелбище,149000.00,1784.43,EUR,"Ателие, таван, студио",2023-07-28
Студентски Град,82333.34,2075.63,EUR,"Ателие, таван, студио",2023-07-28
Суха Река,103250.00,1860.36,EUR,"Ателие, таван, студио",2023-07-28
Хаджи Димитър,69900.00,1344.23,EUR,"Ателие, таван, студио",2023-07-28
Център,169066.67,2555.16,EUR,"Ателие, таван, студио",2023-07-28
Банишора,223300.00,2030.00,EUR,Многостаен апартамемент,2023-07-28
Банкя (гр.),365000.00,2005.49,EUR,Многостаен апартамемент,2023-07-28
Белите Брези,297666.34,1704.20,EUR,Многостаен апартамемент,2023-07-28
Борово,426985.56,1949.71,EUR,Многостаен апартамемент,2023-07-28
Бояна,567388.38,2002.43,EUR,Многостаен апартамемент,2023-07-28
Бъкстон,393516.00,1632.85,EUR,Многостаен апартамемент,2023-07-28
Витоша,482062.41,1925.17,EUR,Многостаен апартамемент,2023-07-28
Гео Милев,386800.00,2132.30,EUR,Многостаен апартамемент,2023-07-28
Горна Баня,330000.00,1466.67,EUR,Многостаен апартамемент,2023-07-28
Дианабад,300000.00,1829.27,EUR,Многостаен апартамемент,2023-07-28
Драгалевци,656535.81,1689.93,EUR,Многостаен апартамемент,2023-07-28
Дружба 1,145000.00,1050.72,EUR,Многостаен апартамемент,2023-07-28
Дружба 2,244822.50,1621.34,EUR,Многостаен апартамемент,2023-07-28
Зона Б18,285200.00,1550.00,EUR,Многостаен апартамемент,2023-07-28
Иван Вазов,2000000.00,3184.71,EUR,Многостаен апартамемент,2023-07-28
Изток,693574.81,2782.65,EUR,Многостаен апартамемент,2023-07-28
Красна Поляна,142000.00,1290.91,EUR,Многостаен апартамемент,2023-07-28
Красно Село,234000.00,1549.67,EUR,Многостаен апартамемент,2023-07-28
Кръстова Вада,533853.38,2229.73,EUR,Многостаен апартамемент,2023-07-28
Лагера,349425.00,1801.16,EUR,Многостаен апартамемент,2023-07-28
Левски В,155000.00,1240.00,EUR,Многостаен апартамемент,2023-07-28
Левски Г,200000.00,1869.16,EUR,Многостаен апартамемент,2023-07-28
Лозенец,697250.50,2634.66,EUR,Многостаен апартамемент,2023-07-28
Люлин 2,213465.62,1168.07,EUR,Многостаен апартамемент,2023-07-28
Люлин 5,167302.12,1253.20,EUR,Многостаен апартамемент,2023-07-28
Люлин 6,187108.00,1203.27,EUR,Многостаен апартамемент,2023-07-28
Люлин 7,175000.00,1458.33,EUR,Многостаен апартамемент,2023-07-28
Люлин 9,260500.00,1286.42,EUR,Многостаен апартамемент,2023-07-28
Малинова Долина,312801.59,1870.26,EUR,Многостаен апартамемент,2023-07-28
Манастирски ливади Запад,499999.00,1831.50,EUR,Многостаен апартамемент,2023-07-28
Манастирски ливади Изток,482987.00,2220.63,EUR,Многостаен апартамемент,2023-07-28
Младост 1,286514.00,1656.15,EUR,Многостаен апартамемент,2023-07-28
Младост 2,429777.50,1667.42,EUR,Многостаен апартамемент,2023-07-28
Младост 4,225884.88,1504.65,EUR,Многостаен апартамемент,2023-07-28
Надежда 2,200500.00,1389.95,EUR,Многостаен апартамемент,2023-07-28
Обеля,161671.42,862.58,EUR,Многостаен апартамемент,2023-07-28
Обеля 2,139000.00,1158.33,EUR,Многостаен апартамемент,2023-07-28
Оборище,659818.81,3257.63,EUR,Многостаен апартамемент,2023-07-28
Овча Купел,226439.88,1379.68,EUR,Многостаен апартамемент,2023-07-28
Овча Купел 1,238000.00,1658.54,EUR,Многостаен апартамемент,2023-07-28
Овча Купел 2,246062.50,1511.91,EUR,Многостаен апартамемент,2023-07-28
Подуене,300500.00,1854.94,EUR,Многостаен апартамемент,2023-07-28
Полигона,220000.00,2268.04,EUR,Многостаен апартамемент,2023-07-28
Редута,371177.50,1511.93,EUR,Многостаен апартамемент,2023-07-28
Симеоново,297500.00,1064.40,EUR,Многостаен апартамемент,2023-07-28
Слатина,205300.00,1555.30,EUR,Многостаен апартамемент,2023-07-28
Стрелбище,385825.00,1999.09,EUR,Многостаен апартамемент,2023-07-28
Студентски Град,371157.25,1548.91,EUR,Многостаен апартамемент,2023-07-28
Суха Река,244759.75,1465.63,EUR,Многостаен апартамемент,2023-07-28
Фондови Жилища,190000.00,1826.92,EUR,Многостаен апартамемент,2023-07-28
Хаджи Димитър,239000.00,2489.58,EUR,Многостаен апартамемент,2023-07-28
Хиподрума,445521.66,1265.69,EUR,Многостаен апартамемент,2023-07-28
Хладилника,490580.00,2063.43,EUR,Многостаен апартамемент,2023-07-28
Център,528999.94,2577.88,EUR,Многостаен апартамемент,2023-07-28
Яворов,609725.00,3010.99,EUR,Многостаен апартамемент,2023-07-28
