Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
7-ми 11-ти километър,112150.66,1654.68,EUR,Двустаен апартамент,2023-07-28
Банишора,118202.97,1754.77,EUR,Двустаен апартамент,2023-07-28
Банкя (гр.),108600.00,1428.95,EUR,Двустаен апартамент,2023-07-28
Белите Брези,162233.00,2015.32,EUR,Двустаен апартамент,2023-07-28
Бенковски,94900.00,1395.59,EUR,Двустаен апартамент,2023-07-28
Борово,143644.33,2015.59,EUR,Двустаен апартамент,2023-07-28
Бояна,170297.86,2025.80,EUR,Двустаен апартамент,2023-07-28
Бъкстон,130767.69,1868.11,EUR,Двустаен апартамент,2023-07-28
Витоша,126511.55,1740.56,EUR,Двустаен апартамент,2023-07-28
Врана - Лозен в.з.,67000.00,1288.46,EUR,Двустаен апартамент,2023-07-28
Гевгелийски,104119.80,1839.57,EUR,Двустаен апартамент,2023-07-28
Гео Милев,189400.00,2721.26,EUR,Двустаен апартамент,2023-07-28
Горна Баня,140752.83,191.66,EUR,Двустаен апартамент,2023-07-28
Гоце Делчев,146226.67,2193.40,EUR,Двустаен апартамент,2023-07-28
Дианабад,140828.94,1952.94,EUR,Двустаен апартамент,2023-07-28
Драгалевци,165752.91,1975.39,EUR,Двустаен апартамент,2023-07-28
Дружба,95085.00,1682.92,EUR,Двустаен апартамент,2023-07-28
Дружба 1,112179.09,1716.23,EUR,Двустаен апартамент,2023-07-28
Дружба 2,112019.34,1591.51,EUR,Двустаен апартамент,2023-07-28
Дървеница,124355.20,1784.50,EUR,Двустаен апартамент,2023-07-28
Западен Парк,99362.38,1818.99,EUR,Двустаен апартамент,2023-07-28
Захарна Фабрика,106628.57,1838.42,EUR,Двустаен апартамент,2023-07-28
Зона Б18,152563.33,2254.63,EUR,Двустаен апартамент,2023-07-28
Зона Б19,144237.20,1994.06,EUR,Двустаен апартамент,2023-07-28
Зона Б5,144498.94,2171.83,EUR,Двустаен апартамент,2023-07-28
Иван Вазов,188000.00,2342.68,EUR,Двустаен апартамент,2023-07-28
Изгрев,200425.00,2683.07,EUR,Двустаен апартамент,2023-07-28
Изток,191692.89,2767.60,EUR,Двустаен апартамент,2023-07-28
Илинден,103843.34,1444.50,EUR,Двустаен апартамент,2023-07-28
Княжево,123432.80,1763.33,EUR,Двустаен апартамент,2023-07-28
Красна Поляна,98847.84,1531.20,EUR,Двустаен апартамент,2023-07-28
Красно Село,131208.62,1717.95,EUR,Двустаен апартамент,2023-07-28
Кръстова Вада,153630.62,1919.05,EUR,Двустаен апартамент,2023-07-28
Лагера,167333.44,2128.25,EUR,Двустаен апартамент,2023-07-28
Левски,94464.34,1214.19,EUR,Двустаен апартамент,2023-07-28
Левски В,95947.00,1194.36,EUR,Двустаен апартамент,2023-07-28
Левски Г,136633.33,2203.76,EUR,Двустаен апартамент,2023-07-28
Лозенец,223703.91,2951.07,EUR,Двустаен апартамент,2023-07-28
Люлин 1,92374.88,1526.86,EUR,Двустаен апартамент,2023-07-28
Люлин 10,107560.84,1387.88,EUR,Двустаен апартамент,2023-07-28
Люлин 2,85756.60,1312.87,EUR,Двустаен апартамент,2023-07-28
Люлин 3,94304.71,1425.77,EUR,Двустаен апартамент,2023-07-28
Люлин 4,95081.82,1464.85,EUR,Двустаен апартамент,2023-07-28
Люлин 5,77077.33,1244.93,EUR,Двустаен апартамент,2023-07-28
Люлин 6,99869.94,1391.45,EUR,Двустаен апартамент,2023-07-28
Люлин 7,93650.00,1620.24,EUR,Двустаен апартамент,2023-07-28
Люлин 8,99718.16,1499.52,EUR,Двустаен апартамент,2023-07-28
Люлин 9,91098.97,1368.14,EUR,Двустаен апартамент,2023-07-28
Люлин Център,106907.69,1507.07,EUR,Двустаен апартамент,2023-07-28
м-т Гърдова глава,118500.00,1795.45,EUR,Двустаен апартамент,2023-07-28
Малинова Долина,105086.14,1499.45,EUR,Двустаен апартамент,2023-07-28
Малинова долина в.з.,100400.00,1455.07,EUR,Двустаен апартамент,2023-07-28
Манастирски ливади Запад,164737.50,1832.96,EUR,Двустаен апартамент,2023-07-28
Манастирски ливади Изток,132255.03,1953.00,EUR,Двустаен апартамент,2023-07-28
Младост 1,132105.05,1947.70,EUR,Двустаен апартамент,2023-07-28
Младост 1а,126025.00,1938.85,EUR,Двустаен апартамент,2023-07-28
Младост 2,144818.27,2099.74,EUR,Двустаен апартамент,2023-07-28
Младост 3,148470.28,2004.42,EUR,Двустаен апартамент,2023-07-28
Младост 4,119373.10,1702.83,EUR,Двустаен апартамент,2023-07-28
Мотописта,150000.00,1764.71,EUR,Двустаен апартамент,2023-07-28
Мусагеница,153240.00,2471.61,EUR,Двустаен апартамент,2023-07-28
Надежда 1,119141.27,1925.77,EUR,Двустаен апартамент,2023-07-28
Надежда 2,113650.85,1560.51,EUR,Двустаен апартамент,2023-07-28
Надежда 3,101000.00,1318.54,EUR,Двустаен апартамент,2023-07-28
Надежда 4,114978.89,1724.68,EUR,Двустаен апартамент,2023-07-28
Обеля,98300.00,1594.05,EUR,Двустаен апартамент,2023-07-28
