Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
Хладилника,132703.64,1791.09,EUR,Двустаен апартамент,2022-07-28
Централна гара,64371.00,946.63,EUR,Двустаен апартамент,2022-07-28
Център,180674.03,2540.34,EUR,Двустаен апартамент,2022-07-28
Банишора,202341.20,2017.31,EUR,Тристаен апартамент,2022-07-28
Банкя (гр.),228656.25,1903.49,EUR,Тристаен апартамент,2022-07-28
Белите Брези,266593.75,2109.54,EUR,Тристаен апартамент,2022-07-28
Бенковски,128494.66,1476.95,EUR,Тристаен апартамент,2022-07-28
Борово,215466.23,2306.92,EUR,Тристаен апартамент,2022-07-28
Бояна,281168.31,2204.84,EUR,Тристаен апартамент,2022-07-28
Бъкстон,277383.66,2482.59,EUR,Тристаен апартамент,2022-07-28
Витоша,254794.94,2044.20,EUR,Тристаен апартамент,2022-07-28
Гео Милев,278828.72,2773.94,EUR,Тристаен апартамент,2022-07-28
Горна Баня,223121.38,1922.67,EUR,Тристаен апартамент,2022-07-28
Гоце Делчев,252980.14,2288.66,EUR,Тристаен апартамент,2022-07-28
Дианабад,297810.91,2382.49,EUR,Тристаен апартамент,2022-07-28
Драгалевци,284731.91,2198.86,EUR,Тристаен апартамент,2022-07-28
Дружба,168164.33,1827.87,EUR,Тристаен апартамент,2022-07-28
Дружба 1,201195.64,1678.69,EUR,Тристаен апартамент,2022-07-28
Дружба 2,227306.16,1839.47,EUR,Тристаен апартамент,2022-07-28
Дървеница,254748.70,2223.31,EUR,Тристаен апартамент,2022-07-28
Западен Парк,125966.66,1741.47,EUR,Тристаен апартамент,2022-07-28
Захарна Фабрика,137000.00,1723.27,EUR,Тристаен апартамент,2022-07-28
Зона Б18,214656.36,2161.82,EUR,Тристаен апартамент,2022-07-28
Зона Б19,260551.12,2374.04,EUR,Тристаен апартамент,2022-07-28
Зона Б5,268418.94,2292.87,EUR,Тристаен апартамент,2022-07-28
Иван Вазов,421500.00,3032.37,EUR,Тристаен апартамент,2022-07-28
Изгрев,338442.62,3034.95,EUR,Тристаен апартамент,2022-07-28
Изток,315092.78,3185.05,EUR,Тристаен апартамент,2022-07-28
Илинден,187679.80,2037.78,EUR,Тристаен апартамент,2022-07-28
Княжево,220733.33,1932.49,EUR,Тристаен апартамент,2022-07-28
Красна Поляна,128821.62,1479.33,EUR,Тристаен апартамент,2022-07-28
Красно Село,230646.97,1765.85,EUR,Тристаен апартамент,2022-07-28
Кръстова Вада,258684.14,2103.41,EUR,Тристаен апартамент,2022-07-28
Лагера,269378.22,17.40,EUR,Тристаен апартамент,2022-07-28
Левски,159560.09,1335.74,EUR,Тристаен апартамент,2022-07-28
Левски В,154885.06,1467.64,EUR,Тристаен апартамент,2022-07-28
Левски Г,156700.00,1768.62,EUR,Тристаен апартамент,2022-07-28
Лозенец,449972.12,3210.08,EUR,Тристаен апартамент,2022-07-28
Люлин 1,125142.86,1569.89,EUR,Тристаен апартамент,2022-07-28
Люлин 10,200416.67,1576.02,EUR,Тристаен апартамент,2022-07-28
Люлин 2,165741.81,1343.50,EUR,Тристаен апартамент,2022-07-28
Люлин 3,168466.67,1940.12,EUR,Тристаен апартамент,2022-07-28
Люлин 4,160833.33,1937.75,EUR,Тристаен апартамент,2022-07-28
Люлин 5,149162.67,1404.88,EUR,Тристаен апартамент,2022-07-28
Люлин 6,149498.50,1670.37,EUR,Тристаен апартамент,2022-07-28
Люлин 7,166950.00,2086.88,EUR,Тристаен апартамент,2022-07-28
Люлин 8,138788.95,1479.21,EUR,Тристаен апартамент,2022-07-28
Люлин 9,137174.41,1428.47,EUR,Тристаен апартамент,2022-07-28
Люлин Център,179739.19,1640.30,EUR,Тристаен апартамент,2022-07-28
м-т Гърдова глава,239023.33,2439.01,EUR,Тристаен апартамент,2022-07-28
м-т Детски град,244000.00,2392.16,EUR,Тристаен апартамент,2022-07-28
Малинова Долина,199562.94,1333.52,EUR,Тристаен апартамент,2022-07-28
Малинова долина в.з.,464500.00,2369.90,EUR,Тристаен апартамент,2022-07-28
Манастирски ливади Запад,263887.50,1887.44,EUR,Тристаен апартамент,2022-07-28
Манастирски ливади Изток,253446.28,2219.32,EUR,Тристаен апартамент,2022-07-28
Младост 1,215677.05,2239.21,EUR,Тристаен апартамент,2022-07-28
Младост 1а,257550.00,2435.46,EUR,Тристаен апартамент,2022-07-28
Младост 2,238202.42,2007.32,EUR,Тристаен апартамент,2022-07-28
Младост 3,183164.00,1936.19,EUR,Тристаен апартамент,2022-07-28
Младост 4,198781.86,1807.65,EUR,Тристаен апартамент,2022-07-28
Мусагеница,209953.33,2202.31,EUR,Тристаен апартамент,2022-07-28
Надежда 1,193999.89,1910.28,EUR,Тристаен апартамент,2022-07-28
Надежда 2,160987.73,1788.75,EUR,Тристаен апартамент,2022-07-28
Надежда 3,144778.00,1667.95,EUR,Тристаен апартамент,2022-07-28
Надежда 4,138071.83,1631.15,EUR,Тристаен апартамент,2022-07-28
Обеля,145825.00,1559.63,EUR,Тристаен апартамент,2022-07-28
Обеля 1,137411.14,1388.63,EUR,Тристаен апартамент,2022-07-28
Обеля 2,136975.00,1733.86,EUR,Тристаен апартамент,2022-07-28
Оборище,382795.62,2954.78,EUR,Тристаен апартамент,2022-07-28
Овча Купел,186787.09,1692.40,EUR,Тристаен апартамент,2022-07-28
Овча Купел 1,170791.05,1583.44,EUR,Тристаен апартамент,2022-07-28
Овча Купел 2,178620.97,1579.22,EUR,Тристаен апартамент,2022-07-28
Павлово,226261.53,1897.68,EUR,Тристаен апартамент,2022-07-28
Подуене,202206.45,1932.47,EUR,Тристаен апартамент,2022-07-28
Полигона,230692.86,1876.60,EUR,Тристаен апартамент,2022-07-28
Разсадника,198818.19,1845.57,EUR,Тристаен апартамент,2022-07-28
Редута,239568.12,2174.98,EUR,Тристаен апартамент,2022-07-28
Света Троица,177335.00,1908.88,EUR,Тристаен апартамент,2022-07-28
Свобода,137100.00,1566.86,EUR,Тристаен апартамент,2022-07-28
Сердика,255431.78,2020.11,EUR,Тристаен апартамент,2022-07-28
Симеоново,278956.25,2195.27,EUR,Тристаен апартамент,2022-07-28
Славия,197508.00,1607.39,EUR,Тристаен апартамент,2022-07-28
Слатина,156558.92,1519.99,EUR,Тристаен апартамент,2022-07-28
Стрелбище,323099.59,2734.27,EUR,Тристаен апартамент,2022-07-28
Студентски Град,202976.98,1678.87,EUR,Тристаен апартамент,2022-07-28
Суха Река,216323.27,1955.62,EUR,Тристаен апартамент,2022-07-28
Толстой,146430.59,1681.18,EUR,Тристаен апартамент,2022-07-28
Хаджи Димитър,206412.53,1951.23,EUR,Тристаен апартамент,2022-07-28
Хиподрума,280814.16,2444.90,EUR,Тристаен апартамент,2022-07-28
Хладилника,342459.75,2653.52,EUR,Тристаен апартамент,2022-07-28
Център,304702.28,2711.41,EUR,Тристаен апартамент,2022-07-28
Яворов,283216.00,2720.61,EUR,Тристаен апартамент,2022-07-28
Банкя (гр.),440977.31,1191.99,EUR,Къща,2022-07-28
Бояна,1052071.38,2333.56,EUR,Къща,2022-07-28
Бъкстон,150000.00,1304.35,EUR,Къща,2022-07-28
Витоша,1301250.00,1537.67,EUR,Къща,2022-07-28
Горна Баня,572530.75,1453.41,EUR,Къща,2022-07-28
Гоце Делчев,490000.00,2450.00,EUR,Къща,2022-07-28
Драгалевци,630362.00,1785.73,EUR,Къща,2022-07-28
Зона Б5,306000.00,1569.23,EUR,Къща,2022-07-28
Иван Вазов,566666.69,3455.28,EUR,Къща,2022-07-28
Княжево,351612.50,1581.17,EUR,Къща,2022-07-28
Красно Село,315000.00,2100.00,EUR,Къща,2022-07-28
Кръстова Вада,728309.44,2106.68,EUR,Къща,2022-07-28
Левски,129966.66,1077.07,EUR,Къща,2022-07-28
Лозенец,655960.00,2240.30,EUR,Къща,2022-07-28
Люлин 1,283500.50,994.74,EUR,Къща,2022-07-28
Люлин 6,549000.00,1568.57,EUR,Къща,2022-07-28
