Район,Едностайни - цена,Едностайни - €/кв.м,Двустайни - цена,Двустайни - €/кв.м,Тристайни - цена,Тристайни - €/кв.м,Общо - €/кв.м,Дата
Младост 1,36 100,933,81 700,1 264,170 050,1 805,1 580,6.8.2024
Младост 1А,77 472,1 846,124 450,1 791,196 650,1 983,1 854,6.8.2024
Младост 2,45 742,1 023,81 700,1 095,125 870,1 096,1 145,6.8.2024
Младост 3,46 787,1 024,101 647,1 528,178 600,1 841,1 416,6.8.2024
Младост 4,59 983,1 155,111 340,1 631,175 328,1 708,1 683,6.8.2024
Модерно предградие,40 137,1 045,72 675,1 007,111 031,1 195,1 072,6.8.2024
Мусагеница,78 850,1 971,139 739,2 148,106 400,1 191,1 835,6.8.2024
НПЗ Искър,NaN,NaN,50 127,569,NaN,NaN,569,6.8.2024
Надежда 1,37 525,831,94 525,1 480,129 675,1 413,1 330,6.8.2024
Надежда 2,64 600,1 388,94 999,1 477,134 354,1 388,1 417,6.8.2024
Надежда 3,44 080,932,90 250,1 374,104 350,1 242,1 268,6.8.2024
Надежда 4,74 384,1 819,91 247,1 375,131 812,1 420,1 401,6.8.2024
Обеля,34 200,684,78 850,1 190,131 995,1 259,1 205,6.8.2024
Обеля 1,57 950,1 314,89 401,1 235,126 686,1 237,1 235,6.8.2024
Обеля 2,37 335,777,72 200,1 221,109 012,1 163,1 145,6.8.2024
Оборище,94 838,2 375,189 050,2 654,279 798,2 651,2 668,6.8.2024
Овча купел,78 850,1 657,109 093,1 520,165 590,1 472,1 488,6.8.2024
Овча купел 1,49 067,1 090,81 700,1 187,125 194,1 352,1 330,6.8.2024
Овча купел 2,45 505,901,105 225,1 572,157 960,1 503,1 513,6.8.2024
Орландовци,29 450,626,79 800,1 324,98 800,1 280,1 277,6.8.2024
ПЗ Хладилника,24 088,472,103 194,1 297,269 800,2 042,2 043,6.8.2024
Павлово,43 785,1 091,89 666,1 277,155 087,1 691,1 291,6.8.2024
Подуяне,47 098,841,124 725,1 710,194 565,1 818,1 725,6.8.2024
Полигона,63 745,1 519,127 806,1 821,205 989,1 784,1 805,6.8.2024
Разсадника,57 000,1 187,101 555,1 652,142 500,1 575,1 623,6.8.2024
Редута,55 575,1 785,81 700,1 150,119 700,1 136,1 118,6.8.2024
СПЗ Слатина,NaN,NaN,58 900,841,189 050,1 718,1 280,6.8.2024
Света Троица,51 358,1 155,93 575,1 454,118 740,1 396,1 245,6.8.2024
Свобода,27 782,517,57 000,799,66 500,707,724,6.8.2024
Сердика,54 910,1 178,82 568,1 275,172 954,1 582,1 476,6.8.2024
Симеоново,129 675,2 152,125 900,1 567,245 100,1 900,1 888,6.8.2024
Славия,35 150,747,102 948,1 518,202 585,1 659,1 522,6.8.2024
Слатина,63 840,1 120,89 300,1 425,102 676,1 054,1 165,6.8.2024
Стрелбище,104 500,2 548,137 750,2 011,193 325,2 063,2 061,6.8.2024
Студентски град,41 040,912,96 561,1 446,160 371,1 482,1 336,6.8.2024
Сухата река,37 334,937,113 050,1 615,185 520,1 750,1 653,6.8.2024
Суходол,61 750,1 403,97 299,1 710,124 212,1 719,1 710,6.8.2024
Толстой,64 600,1 404,89 300,1 404,127 205,1 370,1 404,6.8.2024
Триъгълника,61 629,912,118 750,1 375,140 552,1 359,1 371,6.8.2024
Факултета,NaN,NaN,NaN,NaN,75 050,536,536,6.8.2024
Филиповци,NaN,NaN,66 500,801,NaN,NaN,703,6.8.2024
Фондови жилища,75 050,1 520,52 250,1 009,53 200,645,1 009,6.8.2024
Хаджи Димитър,63 144,1 684,89 300,1 562,150 100,1 659,1 659,6.8.2024
Хиподрума,47 215,935,74 575,1 087,165 300,1 393,1 213,6.8.2024
Хладилника,38 985,846,165 347,1 698,262 713,2 225,2 256,6.8.2024
Христо Ботев,NaN,NaN,NaN,NaN,NaN,NaN,679,6.8.2024
Център,76 000,1 457,128 753,1 894,199 527,1 923,1 909,6.8.2024
Яворов,75 905,2 414,168 625,2 582,172 900,1 858,1 947,6.8.2024
